項次,商品名稱,價格,數量
1,【QUALY】雀兒便條夾,$250,81
2,【urban prefer】MEET+ 名片盒上下蓋組合 11色任選,$300,43
3,【 賽先生科學工廠】喝水鳥Drinking Bird,$350,91
4,【Propaganda】小精靈訂書機4色,$450,21
5,【Indulgence】TAiWAN 護照套-澄黃,$480,100
6,【urban prefer】PIN 無針釘書機 桃紅色,$480,69
7,【HeadphoneDog】錄音帶造型卡夾/名片盒/煙盒酷黑特別版,$549,47
8,【Indulgence】TAiWAN 摺疊旅行袋(中)-澄黃,$780,86
9,【 賽先生科學工廠】仿生蝴蝶罐Butterfly jar4色,$850,81
10,【Luckies】我的地圖刮刮樂 旅遊雜誌 紅色版,$1080,27
11,【Bomber & Co】傘繩求生手環及鑰匙圈,$1450,32
12,【ZENLET】行動錢包＋RFID屏蔽卡,$1500,0
13,【賽先生科學工廠】復古圓柱風暴球Storm glass,$1500,79
14,【 Flightline】City Classic 城市系列 潮流簡約大容量多功能包 _7色,$3250,96
15,【25TOGO】灰姑娘腕錶優雅藍,$3980,95
